gz_id;categoria;label;nombre;nombrehoy;santo;variantes;partido_generico;provincia_generica;region;fuente;id_largo
7000292;Localidad;Marco;Marco;;;;Rancagua;Santiago;CHL;censo1813;Marco_Rancagua_CHL_Localidad
7000293;Poblacion;Santa Ines;Santa Ines;;;;Rancagua;Santiago;CHL;bueno;Santa Ines_Rancagua_CHL_Poblacion
7000294;Poblacion;Bucalemu;Bucalemu;;;;Rancagua;Santiago;CHL;bueno;Bucalemu_Rancagua_CHL_Poblacion
7000295;Poblacion;Membrillo;Membrillo;;;;Rancagua;Santiago;CHL;rel-eco-1780;Membrillo_Rancagua_CHL_Poblacion
7000296;Poblacion;Chacabuco;Chacabuco;;;;Santiago;Santiago;CHL;rel-eco-1780;Chacabuco_Santiago_CHL_Poblacion
7000297;Parcialidad;Santa Ana;Parroquia Santa Ana;;;;Santiago;Santiago;CHL;rel-eco-1780;Santa Ana_Santiago_CHL_Parcialidad
7000298;Parcialidad;San Isidro;Parroquia San Isidro;;;;Santiago;Santiago;CHL;rel-eco-1780;San Isidro_Santiago_CHL_Parcialidad
7000299;Poblacion;Ñunoa;Ñ‘uñoa;Rosario;;"La Chacra;";Santiago;Santiago;CHL;bueno;Ñunoa_Santiago_CHL_Poblacion
7000300;Poblacion;Tango;Tango;;;;Santiago;Santiago;CHL;bueno;Tango_Santiago_CHL_Poblacion
7000301;Poblacion;Renca;Renca;;;;Santiago;Santiago;CHL;bueno;Renca_Santiago_CHL_Poblacion
7000302;Poblacion;Colina;Colina;;;"Colima;";Santiago;Santiago;CHL;bueno;Colina_Santiago_CHL_Poblacion
7000303;Poblacion;Kempu;Kempu;;;"Quempo;";Santiago;Santiago;CHL;bueno;Kempu_Santiago_CHL_Poblacion
7000304;Poblacion;Maipo;Maipo;;;;Santiago;Santiago;CHL;bueno;Maipo_Santiago_CHL_Poblacion
7000305;Poblacion;Valleblanco;Valleblanco;;;;Santiago;Santiago;CHL;bueno;Valleblanco_Santiago_CHL_Poblacion
7000306;Poblacion;San Pedro Nolasco;San Pedro Nolasco;;;;Santiago;Santiago;CHL;bueno;San Pedro Nolasco_Santiago_CHL_Poblacion
7000307;Poblacion;Tiltil;Tiltil;;;;Santiago;Santiago;CHL;bueno;Tiltil_Santiago_CHL_Poblacion
